X,Y,OBJECTID,Name,Address,Description,Easting,Northing,last_edited_date
174.001771717702837,-41.296822970681987,19961,Crow Tavern,15 Nelson Square Picton .,Food Control Plan,1683872,5427808,2017-07-17T00:37:30.000Z
173.957175561206725,-41.515443754492523,19962,B B Foods,31 Scott Street Blenheim .,Food Control Plan,1679870,5403579,2017-07-17T00:37:30.000Z
173.957171078819755,-41.511885917135857,19963,Chutneys,42 High Street Blenheim .,Food Control Plan,1679874,5403974,2017-07-17T00:37:30.000Z
173.958397591496436,-41.5129835974587,19964,Essential Asian Ingredients,46 Wynen Street Blenheim .,Food Control Plan,1679975,5403851,2017-07-17T00:37:30.000Z
173.960411249741242,-41.513011834647429,19965,B V Gourmet,2 A Park Terrace Blenheim .,Food Control Plan,1680143,5403846,2017-07-17T00:37:30.000Z
173.94082843876501,-41.509588810676789,19966,Springlands Tavern (2011) Limited,16 Boyce Street Blenheim .,Food Control Plan,1678513,5404244,2017-07-17T00:37:30.000Z
173.94082843876501,-41.509588810676789,19967,DA's Barn Bar & Restaurant,48 High Street Picton .,Food Control Plan,1678513,5404244,2017-07-17T00:37:30.000Z
173.887450063868954,-41.474902527199838,19968,Hunters Wines (Nz) Limited,603 Rapaura Road Rapaura .,Food Control Plan,1674098,5408142,2017-07-17T00:37:30.000Z
174.006571616368575,-41.288953494752,19969,Cafe Cortado,London Quay Picton .,Food Control Plan,1684284,5428677,2017-07-17T00:37:30.000Z
174.007283468894627,-41.28942467073847,19970,Wave Cafe And Courtyard,20 High Street Picton .,Food Control Plan,1684343,5428624,2017-07-17T00:37:30.000Z
174.150400029123944,-41.129962719098899,19971,Punga Cove Resort,Endeavour Inlet Queen Charlotte Sound / Totaranui .,Food Control Plan,1696561,5446178,2017-07-17T00:37:30.000Z
173.956008535932256,-41.514318545309173,19972,Scotch Bar,24 Maxwell Road Blenheim .,Food Control Plan,1679774,5403705,2017-07-17T00:37:30.000Z
173.959191084936691,-41.512346472353485,19973,Raupo Cafe,6 Symons Street Blenheim .,Food Control Plan,1680042,5403921,2017-07-17T00:37:30.000Z
173.881773963571248,-41.487331289322491,19974,Moa Brewery Company Limited-Cellar Door,258 Jacksons Road Rapaura .,Food Control Plan,1673610,5406767,2017-07-17T00:37:30.000Z
174.187140162652696,-41.092883151779837,19975,Furneaux Lodge,Endeavour Inlet Queen Charlotte Sound / Totaranui .,Food Control Plan,1699701,5450253,2017-07-17T00:37:30.000Z
173.964344499557285,-41.513996741430987,19976,Fairweathers On Scott Limited,36 Scott Street Blenheim .,Food Control Plan,1680470,5403733,2017-07-17T00:37:30.000Z
173.954022875822375,-41.516199541404774,19977,Bamboo Gardens (2013) Limited,67 Queen Street Blenheim .,Food Control Plan,1679606,5403498,2017-07-17T00:37:30.000Z
173.825541400731652,-41.507798999294657,19978,Woodbourne Tavern,76 High Street Renwick .,Food Control Plan,1668894,5404541,2017-07-17T00:37:30.000Z
173.956969204314873,-41.51526532638097,19979,Poppy Thai Ltd,31 Scott Street Blenheim .,Food Control Plan,1679853,5403599,2017-07-17T00:37:30.000Z
173.965428174394077,-41.482074789317771,19980,Grovetown Hotel,2470 SH 1 Grovetown .,Food Control Plan,1680600,5407276,2017-07-17T00:37:30.000Z
173.95866979143463,-41.510315173710154,19981,Waterfront Bar & Grill,Grove Road Blenheim .,Food Control Plan,1680001,5404147,2017-07-17T00:37:30.000Z
174.007574231972541,-41.288917700257841,19982,Le Cafe,12 London Quay Picton .,Food Control Plan,1684368,5428680,2017-07-17T00:37:30.000Z
174.004968086260305,-41.288742315462159,19983,Toot & Whistle,7 Auckland Street Picton .,Food Control Plan,1684150,5428702,2017-07-17T00:37:30.000Z
173.969326228178062,-41.51617064738722,19984,JJ's,60 South Street Blenheim .,Food Control Plan,1680883,5403487,2017-07-17T00:37:30.000Z
173.956305973759584,-41.514171955850216,19985,Ritual,10 Maxwell Road Blenheim .,Food Control Plan,1679799,5403721,2017-07-17T00:37:30.000Z
173.876895908336792,-41.503122405818253,19986,Jackson Estate Limited,77 Jacksons Road Rapaura .,Food Control Plan,1673185,5405018,2017-07-17T00:37:30.000Z
173.571484596298149,-41.29897077025641,19987,Pelorus Bridge Cafe Limited,SH 6 Rai .,Food Control Plan,1647845,5427896,2017-07-17T00:37:30.000Z
173.856806090196557,-41.289354981113625,19988,Linkwater Country Inn,1162 Queen Charlotte Drive Linkwater .,Food Control Plan,1671743,5428767,2017-07-17T00:37:30.000Z
173.999296893436707,-41.289620387822573,19989,Mediterranean Food Marlborough,3 Queen Charlotte Drive Picton .,Food Control Plan,1683674,5428610,2017-07-17T00:37:30.000Z
173.968982734669368,-41.517245407218624,19990,Lola's French Bakery,7 Mary Grace Place Blenheim .,Food Control Plan,1680853,5403368,2017-07-17T00:37:30.000Z
174.007071856253276,-41.289642704746292,19991,Bakehouse Cafe,32 High Street Picton .,Food Control Plan,1684325,5428600,2017-07-17T00:37:30.000Z
173.964971967162654,-41.474737644707254,19992,Dartington Barn,3 Fell Street Grovetown .,Food Control Plan,1680571,5408091,2017-07-17T00:37:30.000Z
173.948966613130352,-41.522834699242097,19993,Karaka Cuisine Limited,107 Maxwell Road Blenheim .,Food Control Plan,1679176,5402766,2017-07-17T00:37:30.000Z
174.021445097330513,-41.282391044794856,19994,Bayroad Seafoods,151 Waikawa Road Picton .,Food Control Plan,1685538,5429391,2017-07-17T00:37:30.000Z
174.023902918045138,-41.276910596903477,19995,Pure Food Ltd,181 Waikawa Road Picton .,National Programme Level 2,1685751,5429997,2017-07-17T00:37:30.000Z
174.005956858912214,-41.529781256287947,19996,Consolidated Vintners And Distillers (NZ) Ltd,2 Bristol Street Riverlands .,National Programme Level 3,1683922,5401941,2017-07-17T00:37:30.000Z
173.923306346991211,-41.536356325125645,19997,Omaka Marae Incorporated,120 Aerodrome Road Omaka .,National Programme Level 2,1677019,5401288,2017-07-17T00:37:30.000Z
173.79558758265398,-41.509991727959978,19998,Seresin Estate Limited,85 Bedford Road Conders Bend .,National Programme Level 3,1666392,5404321,2017-07-17T00:37:30.000Z
173.999094171251869,-41.289640162738159,19999,Mediterranean Food Marlborough,3 Queen Charlotte Drive Picton .,National Programme Level 3,1683657,5428608,2017-07-17T00:37:30.000Z
173.950865698317756,-41.457669099215849,20000,Market Coffee Co,1167 Rapaura Road Spring Creek Rural .,National Programme Level 2,1679414,5409999,2017-07-17T00:37:30.000Z
